selected_job,winner,job_name,negotiation_round,requested_due_date,requested_price,supplier,offer_due_date,offer_price,feasible_due_date,feasible_price,feasible,loss_reduction
S1J14,S2,S1J08,0,4840,9200,S3,4410,7990,True,True,True,179210
S1J14,S2,S1J14,0,6400,9200,S2,4885,6570,True,True,True,468740
S1J14,S2,S1J14,0,6400,9200,S3,5585,6770,True,True,True,468540
S1J04,S3,S1J01,0,2900,8500,S2,1690,5980,True,True,True,136180
S1J04,S3,S1J01,0,2900,8500,S3,1080,5660,True,True,True,136500
S1J04,S3,S1J02,0,3280,9200,S2,3205,6570,True,True,True,165465
S1J04,S3,S1J02,0,3280,9200,S3,3440,8210,False,True,False,162385
S1J04,S3,S1J04,0,3680,10600,S2,4805,20125,False,False,False,187610
S1J04,S3,S1J04,0,3680,10600,S3,3295,7990,True,True,True,212120
S1J04,S3,S1J05,0,4060,11300,S2,3710,5980,True,True,True,206300
S1J04,S3,S1J05,0,4060,11300,S3,3465,5660,True,True,True,206620
S1J04,S3,S1J06,0,4440,12000,S2,4265,6570,True,True,True,153950
S1J04,S3,S1J06,0,4440,12000,S3,2470,6770,True,True,True,153750
S1J04,S3,S1J07,0,4460,8500,S2,6995,29975,False,False,False,90400
S1J04,S3,S1J07,0,4460,8500,S3,6195,22495,False,False,False,105080
S1J04,S3,S1J08,0,4840,9200,S2,5655,15900,False,False,False,156550
S1J04,S3,S1J08,0,4840,9200,S3,4410,7990,True,True,True,172610
S1J04,S3,S1J07,1,4906,9350,S2,6995,25961,False,False,False,94414
S1J04,S3,S1J07,1,4906,9350,S3,5555,12721,False,False,False,120614
S1J04,S3,S1J07,2,5397,10285,S2,7130,22757,False,False,False,96403
S1J04,S3,S1J07,2,5397,10285,S3,5555,8302,False,True,False,125033
S1J04,S3,S1J07,3,5937,11314,S2,7130,17897,False,False,False,101263
S1J04,S3,S1J07,3,5937,11314,S3,6915,15682,False,False,False,105413
S1J05,S2,S1J01,0,2900,8500,S2,1690,5980,True,True,True,138420
S1J05,S2,S1J01,0,2900,8500,S3,1080,5660,True,True,True,138740
S1J05,S2,S1J02,0,3280,9200,S2,3205,6570,True,True,True,170055
S1J05,S2,S1J02,0,3280,9200,S3,3520,8930,False,True,False,165535
S1J05,S2,S1J03,0,3660,9900,S2,1545,7160,True,True,True,159940
S1J05,S2,S1J03,0,3660,9900,S3,4695,17230,False,False,False,139520
S1J05,S2,S1J05,0,4060,11300,S2,3710,5980,True,True,True,232040
S1J05,S2,S1J05,0,4060,11300,S3,4205,7400,False,True,False,228880
S1J05,S2,S1J06,0,4440,12000,S2,4265,6570,True,True,True,134070
S1J05,S2,S1J06,0,4440,12000,S3,5400,14450,False,False,False,118510
S1J05,S2,S1J07,0,4460,8500,S2,6995,29975,False,False,False,99400
S1J05,S2,S1J07,0,4460,8500,S3,6720,27220,False,False,False,104630
S1J05,S2,S1J08,0,4840,9200,S2,5655,15900,False,False,False,162150
S1J05,S2,S1J08,0,4840,9200,S3,5850,18090,False,False,False,158010
S1J05,S2,S1J07,1,4906,9350,S2,6995,25961,False,False,False,103414
S1J05,S2,S1J07,1,4906,9350,S3,6720,23206,False,False,False,108644
S1J05,S2,S1J08,1,5324,10120,S2,2750,7750,True,True,True,178450
S1J05,S2,S1J08,1,5324,10120,S3,5850,13250,False,False,False,162850
S1J05,S2,S1J07,2,5397,10285,S2,7130,22757,False,False,False,105403
S1J05,S2,S1J07,2,5397,10285,S3,5990,12217,False,False,False,126203
S1J05,S2,S1J07,3,5937,11314,S2,7130,17897,False,False,False,110263
S1J05,S2,S1J07,3,5937,11314,S3,5990,7357,False,True,False,131063
S1J08,S2,S1J01,0,2900,8500,S2,4505,18820,False,False,False,110500
S1J08,S2,S1J01,0,2900,8500,S3,1080,5660,True,True,True,136500
S1J08,S2,S1J02,0,3280,9200,S2,2525,6570,True,True,True,163755
S1J08,S2,S1J02,0,3280,9200,S3,3520,8930,False,True,False,159235
S1J08,S2,S1J06,0,4440,12000,S2,5220,12810,False,False,False,115990
S1J08,S2,S1J06,0,4440,12000,S3,5400,14450,False,False,False,112910
S1J08,S2,S1J07,0,4460,8500,S2,7565,35105,False,False,False,80140
S1J08,S2,S1J07,0,4460,8500,S3,6720,27220,False,False,False,95630
S1J08,S2,S1J08,0,4840,9200,S2,4785,7750,True,True,True,171450
S1J08,S2,S1J08,0,4840,9200,S3,5850,18090,False,False,False,151010
S1J08,S2,S1J06,1,4884,13201,S2,5415,10818,False,True,False,116422
S1J08,S2,S1J06,1,4884,13201,S3,5400,10898,False,True,False,116462
S1J08,S2,S1J07,1,4906,9350,S2,3615,7160,True,True,True,136030
