selected_job,winner,job_name,negotiation_round,requested_due_date,requested_price,supplier,offer_due_date,offer_price,feasible_due_date,feasible_price,feasible,loss_reduction
S1J05,S3,S1J08,2,5857,11132,S3,6010,9520,False,True,False,159380
S1J05,S3,S1J08,3,6443,11132,S2,6845,11770,False,False,False,148780
S1J05,S3,S1J08,3,6443,11132,S3,6285,7990,True,True,True,158160
S1J08,S3,S1J01,0,2900,8500,S2,1080,5980,True,True,True,136180
S1J08,S3,S1J01,0,2900,8500,S3,4575,19060,False,False,False,109700
S1J08,S3,S1J04,0,3680,10600,S2,5475,27495,False,False,False,155820
S1J08,S3,S1J04,0,3680,10600,S3,5475,27735,False,False,False,155580
S1J08,S3,S1J06,0,4440,12000,S2,3605,6570,True,True,True,128470
S1J08,S3,S1J06,0,4440,12000,S3,2095,6770,True,True,True,128270
S1J08,S3,S1J07,0,4460,8500,S2,3250,7160,True,True,True,136030
S1J08,S3,S1J07,0,4460,8500,S3,4670,8770,False,False,False,132530
S1J08,S3,S1J08,0,4840,9200,S2,5070,10050,False,False,False,171700
S1J08,S3,S1J08,0,4840,9200,S3,5770,17290,False,False,False,157460
S1J08,S3,S1J04,1,4049,11661,S2,5475,23436,False,False,False,159879
S1J08,S3,S1J04,1,4049,11661,S3,5460,23511,False,False,False,159969
S1J08,S3,S1J08,1,5324,10120,S2,5610,10610,False,False,False,165740
S1J08,S3,S1J08,1,5324,10120,S3,4480,7990,True,True,True,176060
S1J08,S3,S1J04,2,4454,12828,S2,4805,11611,False,True,False,179074
S1J08,S3,S1J04,2,4454,12828,S3,5460,19056,False,False,False,164424
S1J08,S3,S1J04,3,4900,14111,S2,5475,14075,False,True,False,169240
S1J08,S3,S1J04,3,4900,14111,S3,5110,10300,False,True,False,177030
S1J02,S2,S1J02,0,3280,9200,S2,2090,6570,True,True,True,169020
S1J02,S2,S1J02,0,3280,9200,S3,1290,6770,True,True,True,168820
S1J02,S2,S1J04,0,3680,10600,S2,5475,27495,False,False,False,155820
S1J02,S2,S1J04,0,3680,10600,S3,5185,24545,False,False,False,161960
S1J02,S2,S1J06,0,4440,12000,S2,3605,6570,True,True,True,128470
S1J02,S2,S1J06,0,4440,12000,S3,2470,6770,True,True,True,128270
S1J02,S2,S1J07,0,4460,8500,S2,3250,7160,True,True,True,136030
S1J02,S2,S1J07,0,4460,8500,S3,4165,6880,True,True,True,136310
S1J02,S2,S1J04,1,4049,11661,S2,5475,23436,False,False,False,159879
S1J02,S2,S1J04,1,4049,11661,S3,5435,23236,False,False,False,160519
S1J02,S2,S1J04,2,4454,12828,S2,4805,11611,False,True,False,179074
S1J02,S2,S1J04,2,4454,12828,S3,5285,17131,False,False,False,168274
S1J02,S2,S1J04,3,4900,14111,S2,5475,14075,False,True,False,169240
S1J02,S2,S1J04,3,4900,14111,S3,4965,8705,False,True,False,180220
S1J04,S2,S1J04,0,3680,10600,S2,1815,7750,True,True,True,199930
S1J04,S2,S1J04,0,3680,10600,S3,5185,24545,False,False,False,166580
S1J04,S2,S1J07,0,4460,8500,S2,7185,31685,False,False,False,93460
S1J04,S2,S1J07,0,4460,8500,S3,4165,6880,True,True,True,142790
S1J01,S3,S1J01,0,2900,8500,S2,6940,38300,False,False,False,71540
S1J01,S3,S1J01,0,2900,8500,S3,4300,16860,False,False,False,114100
S1J01,S3,S1J06,0,4440,12000,S2,5615,15970,False,False,False,109670
S1J01,S3,S1J06,0,4440,12000,S3,2470,6770,True,True,True,128270
S1J01,S3,S1J01,1,3191,9350,S2,7755,42492,False,False,False,60828
S1J01,S3,S1J01,1,3191,9350,S3,4300,14532,False,False,False,116428
S1J01,S3,S1J01,2,3511,10285,S2,7755,39932,False,False,False,63388
S1J01,S3,S1J01,2,3511,10285,S3,3450,5660,True,True,True,132100
S1J06,S3,S1J06,0,4440,12000,S2,5615,15970,False,False,False,107270
S1J06,S3,S1J06,0,4440,12000,S3,7510,31330,False,False,False,76750
S1J06,S3,S1J07,0,4460,8500,S2,7150,31370,False,False,False,87610
S1J06,S3,S1J07,0,4460,8500,S3,5455,15835,False,False,False,118400
S1J06,S3,S1J06,1,4884,13201,S2,5615,12418,False,True,False,110822
S1J06,S3,S1J06,1,4884,13201,S3,5855,14538,False,False,False,106782
S1J06,S3,S1J07,1,4906,9350,S2,7150,27356,False,False,False,91624
S1J06,S3,S1J07,1,4906,9350,S3,5595,13081,False,False,False,119894
S1J06,S3,S1J06,2,5373,14522,S2,5615,8506,False,True,False,114734
S1J06,S3,S1J06,2,5373,14522,S3,2255,6770,True,True,True,125870
S1J06,S3,S1J07,2,5397,10285,S2,7150,22937,False,False,False,96043
S1J06,S3,S1J07,2,5397,10285,S3,6595,17662,False,False,False,106313
S1J06,S3,S1J07,3,5937,11314,S2,7150,18077,False,False,False,100903
S1J06,S3,S1J07,3,5937,11314,S3,6640,13207,False,False,False,110363
